pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id
https://www.sephora.sg/products/clinique-anti-blemish-solutions-cleansing-gel,CLINIQUE,Anti-Blemish Solutions Cleansing Gel,46.0,4.6,19.0,0,CLINIQUE-Anti-Blemish Solutions Cleansing Gel
https://www.sephora.sg/products/wander-beauty-drift-away-cleanser,WANDER BEAUTY,Drift Away™ Cleanser,52.0,5.0,2.0,SEPHORA EXCLUSIVE,WANDER BEAUTY-Drift Away™ Cleanser
https://www.sephora.sg/products/elemis-pro-collagen-cleansing-balm,ELEMIS,Pro-Collagen Cleansing Balm,98.0,5.0,6.0,0,ELEMIS-Pro-Collagen Cleansing Balm
https://www.sephora.sg/products/innisfree-volcanic-pore-cleansing-foam-ex,INNISFREE,Volcanic Pore Cleansing Foam EX,13.0,4.5,18.0,0,INNISFREE-Volcanic Pore Cleansing Foam EX
https://www.sephora.sg/products/kora-organics-by-miranda-kerr-cream-cleanser,KORA ORGANICS BY MIRANDA KERR,Cream Cleanser,44.0,4.4,33.0,0,KORA ORGANICS BY MIRANDA KERR-Cream Cleanser
https://www.sephora.sg/products/kora-organics-by-miranda-kerr-foaming-cleanser,KORA ORGANICS BY MIRANDA KERR,Foaming Cleanser,44.0,4.7,29.0,0,KORA ORGANICS BY MIRANDA KERR-Foaming Cleanser
https://www.sephora.sg/products/burts-bees-sensitive-facial-cleansing-towelettes,BURT'S BEES,Sensitive Facial Cleansing Towelettes,21.0,3.1,9.0,0,BURT'S BEES-Sensitive Facial Cleansing Towelettes
https://www.sephora.sg/products/skin-inc-skin-revival-infusion-cleanser,SKIN INC,Skin Revival Infusion Cleanser,52.0,,,0,SKIN INC-Skin Revival Infusion Cleanser
https://www.sephora.sg/products/burts-bees-skin-nourishment-gentle-facial-cleanser,BURT'S BEES,Skin Nourishment Gentle Facial Cleanser,35.0,3.5,4.0,0,BURT'S BEES-Skin Nourishment Gentle Facial Cleanser
https://www.sephora.sg/products/burts-bees-orange-essence-facial-cleanser,BURT'S BEES,Orange Essence Facial Cleanser,28.0,3.2,6.0,0,BURT'S BEES-Orange Essence Facial Cleanser
