unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Gel,Liquid,LoosePowder,Lotion,Oil,Spray,20s,30s,40s,50+,Under20
ALPHA-H-Daily Essential Moisturiser SPF 50+ with Vitamin E,4.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
DIOR-Diorsnow Ultimate UV Shield Skin-Breathable Brightening Emulsion SPF50+ PA++++,4.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
ULTRA VIOLETTE-Extreme Screen Hydrating Body & Hand Skinscreen SPF 50+,4.2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
LANCÔME-UV Expert Youth-Shield™ Tone Up Milk SPF50 PA++++,4.7,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
SKIN INC-Pure UV Protect⁺ Face Cream SPF30 PA++,2.0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
EVERYDAY HUMANS-Oh My Bod! SPF50 Body Sunscreen,4.6,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
TOM FORD BEAUTY-Face Protect Primer SPF 50/ PA ++++,4.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
GIVENCHY-Blanc Divin Brightening & Beautifying Protection UV Shield SPF 50+ / PA++++ Sunscreen,4.25,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
SK-II-Atmosphere Airy Light UV Cream SPF 50+ PA++++,4.6,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
LANCÔME-UV Expert Youth-Shield™ Complete SPF50 PA++++,4.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
SHISEIDO-Clear Suncare Stick SPF 50+ PA++++,4.2,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
DRUNK ELEPHANT-Umbra™ Sheer Physical Daily Defense Broad Spectrum Sunscreen SPF 30,3.6,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
