unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Bar,ClayMud,Cream,Foam,Gel,Liquid,Lotion,Oil,Powder,Wipe,20s,30s,40s,50+,Under20
CLINIQUE-All About Clean™ Liquid Facial Soap (Oily Skin),4.4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
CLINIQUE-All About Clean™ Liquid Facial Soap (Mild),4.4,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
DRUNK ELEPHANT-Slaai™ Makeup-Melting Butter Cleanser,3.8,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
SEPHORA COLLECTION-Brightening Dual Exfoliator,4.3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
CLE DE PEAU-Clarifying Cleansing Foam,4.3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
BOSCIA-Detoxifying Black Charcoal Cleanser,4.3,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SEPHORA COLLECTION-Exfoliating Face Wipe,4.2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
FIRST AID BEAUTY-Face Cleanser,4.4,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
CAUDALIE-Vinoclean Instant Foaming Cleanser Duo,4.8,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
PHILOSOPHY-The Microdelivery Exfoliating Facial Wash,4.6,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
SHU UEMURA-Blanc:Chroma Lightening & Polishing Cleansing Oil,4.7,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
