,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Cream,Gel,Liquid,Lotion,Sheet,Spray,Wipe,20s,30s,40s,50+,Under20
56,3.8,ESTÉE LAUDER-Soft Clean Infusion Hydrating Essence Lotion with Amino Acid + Waterlily,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
57,4.3,MAC COSMETICS-Lightful C³ Radiant Hydration Skin Renewal Watery Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1
58,5.0,SHISEIDO-Revitalizing Treatment Softener Lotion,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
59,4.7,TATCHA-The Texture Tonic,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
60,4.4,ESTÉE LAUDER-Micro Essence Skin Activating Treatment Lotion Fresh with Sakura Ferment,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
61,4.2,LA MER-The Tonic,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
62,3.9,MARIO BADESCU-Aloe Vera Toner,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
63,5.0,FRESH-Kombucha Facial Treatment Essence Oamul Lu (Limited Edition),1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
64,4.5,FARMACY-Deep Sweep 2% BHA Pore Refining Toner,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1
65,4.4,SEPHORA COLLECTION-Vitamin Tonic Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
66,5.0,NUDESTIX-5% Citrus Fruit & Glycolic Glow Toner,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
67,4.1,SEPHORA COLLECTION-Gentle PH Balancing Toner,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
68,4.5,DERMALOGICA-Multi-Active Toner,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
69,4.2,CLE DE PEAU-Hydro-Clarifying Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
70,4.3,GLAMGLOW-SUPERTONER ™ Exfoliating Pore Clarifying Acid Solution,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
71,5.0,ESTÉE LAUDER-Nutritious Super-Pomegranate Radiant Energy Lotion Light,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
72,4.3,WEI-Orchid Waterflow Balancing Lotion Toner,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
73,4.3,GIVENCHY-Skin Perfecto Skin-Glow Priming Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
74,3.9,DERMALOGICA CLEAR START-Micro-Pore Mist,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1
75,4.3,LA MER-The Moisturizing Matte Lotion,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
76,4.3,ESTÉE LAUDER-Revitalizing Supreme + Youth Power Soft Milky Lotion,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
77,4.3,AMUSE-Phytoncica™ LHA Reboot Toner,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
78,4.0,PHILOSOPHY-Microdelivery Resurfacing Solution,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
79,4.3,DR.JART+-Cicapair Toner,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
80,4.3,DIOR-Prestige La Lotion Essence De Rose,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
81,4.3,CLINIQUE-Moisture Surge Hydro-Infused Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
82,4.0,GALLINÉE-Face Vinegar Toner,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
83,4.5,LANEIGE-Water Bank Blue Hyaluronic Essence Toner - For Normal To Dry Skin,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
84,4.0,PAI SKINCARE-Century Flower Lotus & Orange Blossom Soothing Tonic Lotion,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
85,4.3,MARIO BADESCU-Alpha Grapefruit Cleansing Lotion,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
86,4.2,KOPARI-Coconut Rose Toner,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0
87,4.3,SHISEIDO-Vital-perfection White Revitalizing Softener,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
88,4.3,PIXI-Best Of Hello Skintreats Duo (Christmas Limited Edition),1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1
89,4.3,LANEIGE-Radian-C Advanced Effector,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
90,4.7,CLINIQUE-Clarifying Lotion 1 - Very Dry To Dry Skin,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
91,4.2,ALPHA-H-Clear Skin Tonic with 2% Salicylic Acid,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
92,4.4,PIXI-Milky Tonic,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
