unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Gel,Liquid,Lotion,Oil,Spray,20s,30s,40s,50+,Under20
FARMACY-Honey Halo Ultra-Hydrating Ceramide Moisturizer,4.5,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
ALPHA-H-Balancing Moisturiser & Gentle Exfoliant with 10% Glycolic Acid,3.8,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
BY TERRY-Hyaluronic Global Face Cream,5.0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
CLE DE PEAU-Protective Fortifying Cream,3.0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
LAB SERIES-Instant Fix Color Correcting Moisturizer,5.0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
PHILOSOPHY-Purity Made Simple Mattifying Gel Moisturizer,4.1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
GIVENCHY-Skin Ressource Protective Moisturising Rich Cream Refill,4.3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
GLAMGLOW-Superwatergel Triple-Acid Oil-Free Moisturizer,4.6,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1
THE INKEY LIST-Symbright Brightening Moisturiser,3.8,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
DIOR-Capture Totale DreamSkin Care & Perfect Emulsion,4.4,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0
LANEIGE-Water Bank Blue Hyaluronic Emulsion - For Normal To Dry Skin,4.3,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
INDIE LEE-Brightening Cream,4.3,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
CLINIQUE-Dramatically Different Moisturizing Lotion+ With Pink Ribbon Key Chain,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
WISHFUL-Honey Whip Peptide Moisturizer,4.6,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
ALPHA-H-Essential Hydration Cream with Rose Geranium and Vitamin E,4.2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
BURT'S BEES-Sensitive Day Cream,2.5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
KOPARI-Coconut Face Cream,4.3,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
IT COSMETICS-Beautiful Together Day-To-Night Skincare Duo (Christmas Limited Edition),4.3,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
LA MER-Crème De La Mer Moisturizer (Limited Edition),4.3,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
FRESH-Black Tea Firming Corset Cream,4.1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
CAUDALIE-Vinosource-Hydra Moisturizing Sorbet,4.7,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
DR. DENNIS GROSS-B3Adaptive Superfoods Barrier Repair Face Cream,3.5,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
KENZOKI-Nourishing Flow Sensual Body Cream,5.0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
CAUDALIE-Skincare Bestie Box,3.5,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1
TARTE-Sea Drink Of H₂O Hydrating Boost Moisturizer,4.2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
CAUDALIE-Resveratrol-Lift Lightweight Firming Cashmere Cream,4.6,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
TALIKA-Skintelligence Hydra - Intense Hydrating Light Cream,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SHISEIDO-Future Solution LX Total Regenerating Cream,3.7,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SHISEIDO-Future Solution LX Universal Defense,3.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SULWHASOO-Essential Comfort Balancing Emulsion Moisturiser,4.3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1
LAB SERIES-Anti-Age Max LS Cream,4.3,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
PHILOSOPHY-Hope In A Jar Hyaluronic Glow Moisturiser Water Cream,5.0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
"LANCÔME-Rénergie Multi-Lift Memory Shape™ Gel-in-Lotion, 200ml",4.6,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
ORIGINS-Dr. Andrew Weil for Origins™ Relief & Resilience Soothing Cream,4.3,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
DERMALOGICA CLEAR START-Skin Soothing Hydrating Lotion,4.1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
THE INKEY LIST-Selfless by Hyram Niacinamide and Maracuja Daily Barrier Support Moisturizer,3.9,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
LANEIGE-Water Bank Blue Hyaluronic Cream - For Combination To Oily Skin,4.6,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
LANCÔME-Rénergie Multi-Lift Ultra Cream,5.0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
EVEREDEN-Soothing Baby Massage Oil,4.8,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
